Tỉnh giao,LV-2,Kho Đến,Loại kho
"Bưu Cục 155 Quốc lộ 1A-Bình Chiểu-Thủ Đức-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 1135 Phan Văn Trị-Q.Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 860/36 Huỳnh Tấn Phát-Q.7-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 63 Ký Hòa-Q.5-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 9 Hồng Bàng-Q.Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 58 Lê Thúc Hoạch-Q.Tân Phú-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 21 Phú Mỹ-Q.Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu cục 78 Đường số 4-Q.7-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 371 Nguyễn Kiệm-Q.Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 692 An Phú Tây-Bình Chánh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 2227 Văn Tiến Dũng-Bình Chánh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 31-31A Lý Phục Man-Bình Thuận-Quận 7-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 47 Đường 882-Phú Hữu-Q.9-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 78 Nguyễn Minh Hoàng-Phường 12-Q.Tân Bình-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 165A Nguyễn Văn Tạo-Nhà Bè-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Phường Long Trường-Q9-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 320 Nguyễn Thị Kiểu-Hiệp Thành-Quận 12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 38 Đường Số 3-Q.Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Phan Huy Ích-Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 92 Tân Chánh Hiệp 03-Tân Chánh Hiệp-Quận 12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 13 Đường Số 8-Hiệp Bình Phước-Q.Thủ Đức-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 20 Đường số 81-Q.7-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Số 25 Đường 12-An Phú-Q.2-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu cục 215 Bình Thới-Q.11-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 16 Trần Nhật Duật-Q.1-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Phường Tây Thạnh-Tân Phú-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 256/59 Đường Thạnh Xuân 25-Quận 12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 59 Trương Phước Phan-Q.Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 88 Võ Thị Liễu-Q.12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
